Raw Data 		Experiment - evIC50_3_plate1_11APRIL2026 (Run on LCS480 1.5.1.62)																							
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510																		
C6	Sample 30	2	1	15	102970	36.96	1.29																		
C7	Sample 31	2	1	1	32930	36.91	1.3																		
C7	Sample 31	2	1	2	37970	36.96	1.31																		
C7	Sample 31	2	1	3	42980	36.96	1.3																		
C7	Sample 31	2	1	4	47980	37	1.3																		
C7	Sample 31	2	1	5	52970	37	1.3																		
C7	Sample 31	2	1	6	57960	37	1.29																		
C7	Sample 31	2	1	7	62970	36.96	1.29																		
C7	Sample 31	2	1	8	67980	36.96	1.3																		
C7	Sample 31	2	1	9	72970	37	1.3																		
C7	Sample 31	2	1	10	77970	37	1.3																		
C7	Sample 31	2	1	11	82970	37	1.29																		
C7	Sample 31	2	1	12	87960	36.96	1.29																		
C7	Sample 31	2	1	13	92970	37	1.3																		
C7	Sample 31	2	1	14	97970	36.96	1.3																		
C7	Sample 31	2	1	15	102970	36.96	1.29																		
C8	Sample 32	2	1	1	32930	36.91	1.29																		
C8	Sample 32	2	1	2	37970	36.96	1.28																		
C8	Sample 32	2	1	3	42980	36.96	1.27																		
C8	Sample 32	2	1	4	47980	37	1.27																		
C8	Sample 32	2	1	5	52970	37	1.26																		
C8	Sample 32	2	1	6	57960	37	1.26																		
C8	Sample 32	2	1	7	62970	36.96	1.27																		
C8	Sample 32	2	1	8	67980	36.96	1.26																		
C8	Sample 32	2	1	9	72970	37	1.27																		
C8	Sample 32	2	1	10	77970	37	1.27																		
C8	Sample 32	2	1	11	82970	37	1.26																		
C8	Sample 32	2	1	12	87960	36.96	1.27																		
C8	Sample 32	2	1	13	92970	37	1.28																		
C8	Sample 32	2	1	14	97970	36.96	1.26																		
C8	Sample 32	2	1	15	102970	36.96	1.26																		
