Raw Data 		Experiment - evIC50_3_plate4_11APRIL2026 (Run on LCS480 1.5.1.62)																				
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510															
B12	Sample 24	2	1	12	82430	37	2.79															
B12	Sample 24	2	1	13	87040	37	2.62															
B12	Sample 24	2	1	14	91640	37	2.54															
B12	Sample 24	2	1	15	96240	37	2.48															
C1	Sample 25	2	1	1	31610	36.91	1.74															
C1	Sample 25	2	1	2	36240	36.96	1.75															
C1	Sample 25	2	1	3	40830	37	1.76															
C1	Sample 25	2	1	4	45430	36.96	1.75															
C1	Sample 25	2	1	5	50130	37	1.75															
C1	Sample 25	2	1	6	54730	36.96	1.75															
C1	Sample 25	2	1	7	59330	36.96	1.74															
C1	Sample 25	2	1	8	63940	37	1.75															
C1	Sample 25	2	1	9	68630	37	1.75															
C1	Sample 25	2	1	10	73230	37	1.75															
C1	Sample 25	2	1	11	77830	37	1.75															
C1	Sample 25	2	1	12	82430	37	1.75															
C1	Sample 25	2	1	13	87040	37	1.75															
C1	Sample 25	2	1	14	91640	37	1.75															
C1	Sample 25	2	1	15	96240	37	1.75															
C2	Sample 26	2	1	1	31610	36.91	1.64															
C2	Sample 26	2	1	2	36240	36.96	1.64															
C2	Sample 26	2	1	3	40830	37	1.66															
C2	Sample 26	2	1	4	45430	36.96	1.63															
C2	Sample 26	2	1	5	50130	37	1.64															
C2	Sample 26	2	1	6	54730	36.96	1.63															
C2	Sample 26	2	1	7	59330	36.96	1.63															
C2	Sample 26	2	1	8	63940	37	1.63															
C2	Sample 26	2	1	9	68630	37	1.63															
C2	Sample 26	2	1	10	73230	37	1.63															
C2	Sample 26	2	1	11	77830	37	1.65															
C2	Sample 26	2	1	12	82430	37	1.62															
C2	Sample 26	2	1	13	87040	37	1.63															
C2	Sample 26	2	1	14	91640	37	1.62															
C2	Sample 26	2	1	15	96240	37	1.63															
C3	Sample 27	2	1	1	31610	36.91	1.57															
C3	Sample 27	2	1	2	36240	36.96	1.59															
C3	Sample 27	2	1	3	40830	37	1.6															
C3	Sample 27	2	1	4	45430	36.96	1.58															
C3	Sample 27	2	1	5	50130	37	1.58															
C3	Sample 27	2	1	6	54730	36.96	1.58															
C3	Sample 27	2	1	7	59330	36.96	1.57															
C3	Sample 27	2	1	8	63940	37	1.59															
C3	Sample 27	2	1	9	68630	37	1.58															
C3	Sample 27	2	1	10	73230	37	1.57															
C3	Sample 27	2	1	11	77830	37	1.58															
C3	Sample 27	2	1	12	82430	37	1.58															
C3	Sample 27	2	1	13	87040	37	1.58															
C3	Sample 27	2	1	14	91640	37	1.58															
C3	Sample 27	2	1	15	96240	37	1.56															
C4	Sample 28	2	1	1	31610	36.91	1.6															
C4	Sample 28	2	1	2	36240	36.96	1.6															
C4	Sample 28	2	1	3	40830	37	1.63															
C4	Sample 28	2	1	4	45430	36.96	1.61															
C4	Sample 28	2	1	5	50130	37	1.6															
C4	Sample 28	2	1	6	54730	36.96	1.6															
C4	Sample 28	2	1	7	59330	36.96	1.62															
C4	Sample 28	2	1	8	63940	37	1.59															
C4	Sample 28	2	1	9	68630	37	1.61															
C4	Sample 28	2	1	10	73230	37	1.62															
C4	Sample 28	2	1	11	77830	37	1.62															
C4	Sample 28	2	1	12	82430	37	1.61															
C4	Sample 28	2	1	13	87040	37	1.61															
C4	Sample 28	2	1	14	91640	37	1.61															
C4	Sample 28	2	1	15	96240	37	1.62															
C5	Sample 29	2	1	1	31610	36.91	2.49															
C5	Sample 29	2	1	2	36240	36.96	2.5															
C5	Sample 29	2	1	3	40830	37	2.51															
C5	Sample 29	2	1	4	45430	36.96	2.49															
C5	Sample 29	2	1	5	50130	37	2.49															
C5	Sample 29	2	1	6	54730	36.96	2.48															
C5	Sample 29	2	1	7	59330	36.96	2.49															
C5	Sample 29	2	1	8	63940	37	2.48															
C5	Sample 29	2	1	9	68630	37	2.47															
C5	Sample 29	2	1	10	73230	37	2.49															
C5	Sample 29	2	1	11	77830	37	2.48															
C5	Sample 29	2	1	12	82430	37	2.47															
C5	Sample 29	2	1	13	87040	37	2.47															
C5	Sample 29	2	1	14	91640	37	2.48															
C5	Sample 29	2	1	15	96240	37	2.48															
C6	Sample 30	2	1	1	31610	36.91	2.56															
C6	Sample 30	2	1	2	36240	36.96	2.58															
C6	Sample 30	2	1	3	40830	37	2.59															
C6	Sample 30	2	1	4	45430	36.96	2.58															
C6	Sample 30	2	1	5	50130	37	2.56															
C6	Sample 30	2	1	6	54730	36.96	2.56															
C6	Sample 30	2	1	7	59330	36.96	2.57															
C6	Sample 30	2	1	8	63940	37	2.56															
C6	Sample 30	2	1	9	68630	37	2.55															
C6	Sample 30	2	1	10	73230	37	2.56															
C6	Sample 30	2	1	11	77830	37	2.56															
C6	Sample 30	2	1	12	82430	37	2.56															
C6	Sample 30	2	1	13	87040	37	2.55															
C6	Sample 30	2	1	14	91640	37	2.55															
C6	Sample 30	2	1	15	96240	37	2.55															
C7	Sample 31	2	1	1	31610	36.91	2.61															
C7	Sample 31	2	1	2	36240	36.96	2.61															
C7	Sample 31	2	1	3	40830	37	2.63															
C7	Sample 31	2	1	4	45430	36.96	2.62															
C7	Sample 31	2	1	5	50130	37	2.62															
C7	Sample 31	2	1	6	54730	36.96	2.6															
C7	Sample 31	2	1	7	59330	36.96	2.59															
C7	Sample 31	2	1	8	63940	37	2.6															
C7	Sample 31	2	1	9	68630	37	2.6															
C7	Sample 31	2	1	10	73230	37	2.61															
C7	Sample 31	2	1	11	77830	37	2.6															
C7	Sample 31	2	1	12	82430	37	2.6															
C7	Sample 31	2	1	13	87040	37	2.6															
C7	Sample 31	2	1	14	91640	37	2.6															
C7	Sample 31	2	1	15	96240	37	2.6															
C8	Sample 32	2	1	1	31610	36.91	2.55															
C8	Sample 32	2	1	2	36240	36.96	2.54															
C8	Sample 32	2	1	3	40830	37	2.55															
C8	Sample 32	2	1	4	45430	36.96	2.53															
C8	Sample 32	2	1	5	50130	37	2.53															
C8	Sample 32	2	1	6	54730	36.96	2.53															
C8	Sample 32	2	1	7	59330	36.96	2.52															
C8	Sample 32	2	1	8	63940	37	2.53															
C8	Sample 32	2	1	9	68630	37	2.52															
C8	Sample 32	2	1	10	73230	37	2.52															
C8	Sample 32	2	1	11	77830	37	2.54															
C8	Sample 32	2	1	12	82430	37	2.52															
C8	Sample 32	2	1	13	87040	37	2.53															
C8	Sample 32	2	1	14	91640	37	2.52															
C8	Sample 32	2	1	15	96240	37	2.52															
C9	Sample 33	2	1	1	31610	36.91	3.04															
C9	Sample 33	2	1	2	36240	36.96	3.03															
C9	Sample 33	2	1	3	40830	37	3.03															
C9	Sample 33	2	1	4	45430	36.96	3.02															
C9	Sample 33	2	1	5	50130	37	3.01															
C9	Sample 33	2	1	6	54730	36.96	3.01															
C9	Sample 33	2	1	7	59330	36.96	3.01															
C9	Sample 33	2	1	8	63940	37	3.02															
C9	Sample 33	2	1	9	68630	37	3															
C9	Sample 33	2	1	10	73230	37	3															
C9	Sample 33	2	1	11	77830	37	3.02															
C9	Sample 33	2	1	12	82430	37	3															
C9	Sample 33	2	1	13	87040	37	3															
C9	Sample 33	2	1	14	91640	37	3															
C9	Sample 33	2	1	15	96240	37	3															
C10	Sample 34	2	1	1	31610	36.91	2.92															
C10	Sample 34	2	1	2	36240	36.96	2.92															
C10	Sample 34	2	1	3	40830	37	2.93															
C10	Sample 34	2	1	4	45430	36.96	2.9															
C10	Sample 34	2	1	5	50130	37	2.92															
C10	Sample 34	2	1	6	54730	36.96	2.9															
C10	Sample 34	2	1	7	59330	36.96	2.89															
C10	Sample 34	2	1	8	63940	37	2.89															
C10	Sample 34	2	1	9	68630	37	2.9															
C10	Sample 34	2	1	10	73230	37	2.9															
C10	Sample 34	2	1	11	77830	37	2.9															
